Middle layer Super Output Areas Code,Middle layer Super Output Areas,Sex (2 categories) Code,Sex (2 categories),Observation
E02003491,Brighton and Hove 001,1,Female,4014
E02003491,Brighton and Hove 001,2,Male,3776
E02003492,Brighton and Hove 002,1,Female,5391
E02003492,Brighton and Hove 002,2,Male,4724
E02003493,Brighton and Hove 003,1,Female,4173
E02003493,Brighton and Hove 003,2,Male,3889
E02003494,Brighton and Hove 004,1,Female,3451
E02003494,Brighton and Hove 004,2,Male,3189
E02003495,Brighton and Hove 005,1,Female,3785
E02003495,Brighton and Hove 005,2,Male,3370
E02003496,Brighton and Hove 006,1,Female,4001
E02003496,Brighton and Hove 006,2,Male,3750
E02003497,Brighton and Hove 007,1,Female,3841
E02003497,Brighton and Hove 007,2,Male,3740
E02003498,Brighton and Hove 008,1,Female,4398
E02003498,Brighton and Hove 008,2,Male,4149
E02003499,Brighton and Hove 009,1,Female,3994
E02003499,Brighton and Hove 009,2,Male,3855
E02003500,Brighton and Hove 010,1,Female,4198
E02003500,Brighton and Hove 010,2,Male,3874
E02003501,Brighton and Hove 011,1,Female,4260
E02003501,Brighton and Hove 011,2,Male,4125
E02003502,Brighton and Hove 012,1,Female,4003
E02003502,Brighton and Hove 012,2,Male,3777
E02003503,Brighton and Hove 013,1,Female,4716
E02003503,Brighton and Hove 013,2,Male,4364
E02003504,Brighton and Hove 014,1,Female,4342
E02003504,Brighton and Hove 014,2,Male,4214
E02003505,Brighton and Hove 015,1,Female,4614
E02003505,Brighton and Hove 015,2,Male,4353
E02003506,Brighton and Hove 016,1,Female,3668
E02003506,Brighton and Hove 016,2,Male,3495
E02003507,Brighton and Hove 017,1,Female,5059
E02003507,Brighton and Hove 017,2,Male,4714
E02003508,Brighton and Hove 018,1,Female,4515
E02003508,Brighton and Hove 018,2,Male,4190
E02003509,Brighton and Hove 019,1,Female,4566
E02003509,Brighton and Hove 019,2,Male,4324
E02003510,Brighton and Hove 020,1,Female,4435
E02003510,Brighton and Hove 020,2,Male,4216
E02003511,Brighton and Hove 021,1,Female,4534
E02003511,Brighton and Hove 021,2,Male,4112
E02003512,Brighton and Hove 022,1,Female,4766
E02003512,Brighton and Hove 022,2,Male,4189
E02003513,Brighton and Hove 023,1,Female,3442
E02003513,Brighton and Hove 023,2,Male,3046
E02003514,Brighton and Hove 024,1,Female,4115
E02003514,Brighton and Hove 024,2,Male,4351
E02003515,Brighton and Hove 025,1,Female,4731
E02003515,Brighton and Hove 025,2,Male,4358
E02003516,Brighton and Hove 026,1,Female,4151
E02003516,Brighton and Hove 026,2,Male,4029
E02003517,Brighton and Hove 027,1,Female,5154
E02003517,Brighton and Hove 027,2,Male,5584
E02003518,Brighton and Hove 028,1,Female,3920
E02003518,Brighton and Hove 028,2,Male,3656
E02003519,Brighton and Hove 029,1,Female,3948
E02003519,Brighton and Hove 029,2,Male,4290
E02003520,Brighton and Hove 030,1,Female,4441
E02003520,Brighton and Hove 030,2,Male,4730
E02003521,Brighton and Hove 031,1,Female,3796
E02003521,Brighton and Hove 031,2,Male,4282
E02003522,Brighton and Hove 032,1,Female,3851
E02003522,Brighton and Hove 032,2,Male,3956
E02003523,Brighton and Hove 033,1,Female,5268
E02003523,Brighton and Hove 033,2,Male,4890
